------------------------------------------------------------------------------------------------------------------------
Best parameters found:
 {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.758 (+/-0.014) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.847 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.853 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.849 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.852 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.849 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.849 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.749 (+/-0.011) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.760 (+/-0.006) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.849 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.847 (+/-0.009) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.852 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.845 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
